# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
28.4          	3.3312170e-02	6.7978570e-03	1.1088460e-02	1.1088460e-02
28.5          	3.3334860e-02	6.8059590e-03	1.1108160e-02	1.1108180e-02
28.6          	3.3507100e-02	6.8132840e-03	1.1129920e-02	1.1129880e-02
28.7          	3.3625550e-02	6.8183290e-03	1.1151780e-02	1.1151810e-02
28.8          	3.3526070e-02	6.8257990e-03	1.1172770e-02	1.1172740e-02
28.9          	3.3598670e-02	6.8332840e-03	1.1194450e-02	1.1194480e-02
29            	3.3675700e-02	6.8384940e-03	1.1214670e-02	1.1214640e-02
29.1          	3.3614930e-02	6.8451920e-03	1.1232970e-02	1.1232980e-02
29.2          	3.3871760e-02	6.8541550e-03	1.1253480e-02	1.1253480e-02
29.3          	3.3915330e-02	6.8629830e-03	1.1272230e-02	1.1272210e-02
29.4          	3.4105370e-02	6.8731240e-03	1.1290440e-02	1.1290460e-02
29.5          	3.4057170e-02	6.8833910e-03	1.1310420e-02	1.1310380e-02
29.6          	3.4116590e-02	6.8911870e-03	1.1330930e-02	1.1330970e-02
29.7          	3.4139310e-02	6.8963590e-03	1.1349570e-02	1.1349530e-02
29.8          	3.4226260e-02	6.9024400e-03	1.1367950e-02	1.1367980e-02
29.9          	3.4368100e-02	6.9057750e-03	1.1381800e-02	1.1381760e-02
30            	3.4484730e-02	6.9104600e-03	1.1397200e-02	1.1397230e-02
30.1          	3.4613230e-02	6.9184230e-03	1.1411760e-02	1.1411720e-02
30.2          	3.4407050e-02	6.9257130e-03	1.1429980e-02	1.1430010e-02
30.3          	3.4515750e-02	6.9339990e-03	1.1450090e-02	1.1450060e-02
30.4          	3.4670460e-02	6.9403110e-03	1.1466140e-02	1.1466170e-02
30.5          	3.4600030e-02	6.9473800e-03	1.1481770e-02	1.1481730e-02
30.6          	3.4602980e-02	6.9551830e-03	1.1494830e-02	1.1494850e-02
30.7          	3.4572150e-02	6.9618270e-03	1.1505120e-02	1.1505090e-02
30.8          	3.4463540e-02	6.9701020e-03	1.1518490e-02	1.1518500e-02
30.9          	3.4544450e-02	6.9795150e-03	1.1528740e-02	1.1528730e-02
31            	3.4689540e-02	6.9866640e-03	1.1539900e-02	1.1539910e-02
31.1          	3.4753000e-02	6.9882310e-03	1.1549810e-02	1.1549800e-02
31.2          	3.4681050e-02	6.9919870e-03	1.1557820e-02	1.1557830e-02
31.3          	3.4732500e-02	6.9997200e-03	1.1568200e-02	1.1568190e-02
31.4          	3.4839140e-02	7.0106360e-03	1.1578700e-02	1.1578690e-02
31.5          	3.4789000e-02	7.0178720e-03	1.1590560e-02	1.1590570e-02
31.6          	3.4456800e-02	7.0237720e-03	1.1601510e-02	1.1601490e-02
31.7          	3.4545710e-02	7.0317550e-03	1.1611220e-02	1.1611240e-02
31.8          	3.4686860e-02	7.0415560e-03	1.1618830e-02	1.1618810e-02
31.9          	3.4843490e-02	7.0502430e-03	1.1629220e-02	1.1629240e-02
32            	3.4991620e-02	7.0568370e-03	1.1644580e-02	1.1644560e-02
32.1          	3.5231000e-02	7.0613150e-03	1.1659070e-02	1.1659070e-02
32.2          	3.5009930e-02	7.0684470e-03	1.1670080e-02	1.1670080e-02
32.3          	3.4987690e-02	7.0760920e-03	1.1679410e-02	1.1679410e-02
32.4          	3.5064210e-02	7.0790910e-03	1.1685940e-02	1.1685950e-02
32.5          	3.4986230e-02	7.0813980e-03	1.1694460e-02	1.1694450e-02
32.6          	3.5203540e-02	7.0863110e-03	1.1702920e-02	1.1702930e-02
32.7          	3.5135390e-02	7.0920910e-03	1.1712770e-02	1.1712760e-02
32.8          	3.5135400e-02	7.0990870e-03	1.1723260e-02	1.1723270e-02
32.9          	3.5207690e-02	7.1045700e-03	1.1732310e-02	1.1732280e-02
33            	3.5302200e-02	7.1081800e-03	1.1742460e-02	1.1742480e-02
33.1          	3.5238740e-02	7.1118990e-03	1.1752820e-02	1.1752800e-02
33.2          	3.5252130e-02	7.1174400e-03	1.1763030e-02	1.1763050e-02
33.3          	3.5240850e-02	7.1231920e-03	1.1775630e-02	1.1775600e-02
33.4          	3.5290650e-02	7.1247750e-03	1.1784990e-02	1.1785020e-02
33.5          	3.5393880e-02	7.1286220e-03	1.1791250e-02	1.1791220e-02
33.6          	3.5407110e-02	7.1318600e-03	1.1799840e-02	1.1799860e-02
33.7          	3.5568000e-02	7.1355630e-03	1.1804020e-02	1.1804000e-02
33.8          	3.5437960e-02	7.1412060e-03	1.1812610e-02	1.1812630e-02
33.9          	3.5087930e-02	7.1495470e-03	1.1819910e-02	1.1819910e-02
34            	3.5314390e-02	7.1570250e-03	1.1825190e-02	1.1825190e-02
